id,customer_name,customer_email,created_timestamp,closed_timestamp,status,employee_name,description
1,Antonio Hughes,snelson0@dedecms.com,2015-07-10,2016-04-16,Closed,Shirley Nelson,at nulla suspendisse potenti cras in purus
2,Sharon Harrison,eroberts1@printfriendly.com,2015-06-16,Pending,Open,Emily Roberts,a libero nam
3,Jennifer Chapman,mhoward2@sogou.com,2014-11-26,2016-03-24,Closed,Martha Howard,est quam pharetra magna
4,Betty Parker,hflores3@cdc.gov,2015-08-31,Pending,Open,Harry Flores,suspendisse accumsan tortor
5,Carl Henry,pgreene4@paypal.com,2015-04-24,Pending,Open,Paula Greene,curabitur at ipsum ac tellus semper interdum
6,John Harrison,rsanders5@digg.com,2015-09-22,2016-01-17,Closed,Randy Sanders,turpis adipiscing lorem vitae mattis nibh
7,Dennis Carr,jcarroll6@who.int,2014-11-09,Pending,Open,Joseph Carroll,cras mi pede
8,Steve Miller,cwalker7@jimdo.com,2015-04-21,Pending,Open,Chris Walker,posuere cubilia curae
9,Antonio Howard,tmills8@baidu.com,2015-12-20,Pending,Open,Todd Mills,vel pede morbi porttitor
10,Angela Morgan,jford9@google.fr,2015-05-08,Pending,Open,James Ford,ligula sit amet eleifend pede
11,Mary Rice,kcoopera@google.co.jp,2015-05-15,Pending,Open,Kimberly Cooper,nulla eget eros elementum pellentesque quisque
12,Jeffrey Cox,wrogersb@yellowpages.com,2015-10-26,2016-07-28,Closed,Wanda Rogers,at feugiat non
13,Arthur Moore,lbowmanc@vimeo.com,2015-04-04,Pending,Open,Lillian Bowman,potenti nullam porttitor lacus at
14,John Matthews,jlewisd@netscape.com,2014-09-28,Pending,Open,Jeffrey Lewis,interdum mauris ullamcorper purus
15,Jeffrey Ford,ghalle@diigo.com,2015-01-27,Pending,Open,Gloria Hall,faucibus cursus urna ut tellus nulla
16,Fred Smith,cricef@hibu.com,2015-08-09,Pending,Open,Carolyn Rice,nulla tellus in
17,Michelle Mitchell,rlongg@nbcnews.com,2015-04-09,Pending,Open,Ruth Long,orci mauris lacinia sapien
18,Donald Garrett,ppayneh@independent.co.uk,2015-02-26,Pending,Open,Philip Payne,eu est congue elementum in hac
19,Julie Burke,ataylori@de.vu,2015-10-13,Pending,Open,Aaron Taylor,neque sapien placerat ante
20,Linda Morris,cfordj@globo.com,2015-02-08,2016-04-14,Closed,Charles Ford,felis eu sapien cursus vestibulum
21,Ralph Russell,dturnerk@odnoklassniki.ru,2015-10-27,2016-05-20,Closed,Daniel Turner,scelerisque quam turpis adipiscing lorem vitae mattis
22,Adam Butler,sfieldsl@nationalgeographic.com,2015-10-09,2016-04-08,Closed,Sandra Fields,fusce posuere felis sed lacus morbi
23,Lori Riley,welliottm@vistaprint.com,2014-11-07,Pending,Open,Wanda Elliott,pellentesque eget nunc donec quis orci
24,Jacqueline Carr,dgutierrezn@moonfruit.com,2015-08-21,Pending,Open,Douglas Gutierrez,vestibulum quam sapien
25,Paula Holmes,jmarshallo@cbc.ca,2014-11-11,2016-04-08,Closed,Jason Marshall,at lorem integer tincidunt ante vel ipsum
26,Carolyn Elliott,ealvarezp@yellowpages.com,2015-06-14,Pending,Open,Emily Alvarez,arcu libero rutrum ac lobortis
27,Cheryl Jordan,jfreemanq@huffingtonpost.com,2015-05-21,Pending,Open,John Freeman,odio justo sollicitudin ut
28,Mildred Myers,snicholsr@wp.com,2015-07-03,Pending,Open,Sharon Nichols,erat vestibulum sed magna at
29,Jennifer Kelly,rjenkinss@delicious.com,2014-12-05,2016-05-23,Closed,Ruth Jenkins,nunc proin at
30,Ernest Morales,jreedt@weibo.com,2015-08-18,2016-02-27,Closed,Jeremy Reed,magna vestibulum aliquet ultrices erat tortor sollicitudin
31,Benjamin Stone,rwallaceu@cnbc.com,2015-05-12,Pending,Open,Roy Wallace,molestie sed justo pellentesque viverra pede
32,Theresa Carter,kmatthewsv@desdev.cn,2015-01-02,2016-04-09,Closed,Katherine Matthews,tincidunt eu felis fusce
33,Johnny Meyer,kmarshallw@purevolume.com,2015-01-25,Pending,Open,Kathleen Marshall,elementum eu interdum eu tincidunt in
34,Jeremy Stephens,tjonesx@deviantart.com,2015-04-11,Pending,Open,Thomas Jones,phasellus in felis donec semper sapien
35,Robert Sanders,lcoley@cargocollective.com,2014-12-03,Pending,Open,Lori Cole,mauris eget massa tempor convallis nulla neque
36,Jerry Baker,rfergusonz@google.it,2014-09-26,2016-04-09,Closed,Ralph Ferguson,posuere metus vitae ipsum
37,Ralph Flores,pmartin10@hao123.com,2015-08-02,Pending,Open,Paul Martin,diam neque vestibulum eget vulputate ut ultrices
38,Lisa Duncan,aanderson11@myspace.com,2014-10-19,Pending,Open,Annie Anderson,orci nullam molestie nibh in
39,Kimberly Ortiz,jfrazier12@yellowpages.com,2015-05-17,2016-05-03,Closed,Jack Frazier,curabitur convallis duis consequat
40,Elizabeth Fernandez,bmorrison13@cafepress.com,2015-07-07,2016-01-14,Closed,Benjamin Morrison,est quam pharetra magna ac consequat
41,Heather Roberts,nsimpson14@wp.com,2015-01-02,Pending,Open,Nancy Simpson,eros elementum pellentesque quisque porta
42,Cynthia Williamson,thunter15@telegraph.co.uk,2015-09-16,2016-03-22,Closed,Thomas Hunter,lorem id ligula suspendisse
43,Jeffrey Dean,jcampbell16@adobe.com,2014-10-10,Pending,Open,Julie Campbell,in quam fringilla rhoncus mauris
44,Juan West,dburns17@dyndns.org,2015-07-26,Pending,Open,Dorothy Burns,rutrum neque aenean auctor gravida
45,Dorothy Reid,erice18@imgur.com,2015-07-11,2016-01-09,Closed,Edward Rice,tempus vel pede morbi porttitor lorem
46,Jeremy Butler,bmyers19@wikispaces.com,2015-12-26,2016-06-27,Closed,Beverly Myers,sed tincidunt eu felis
47,Carl Romero,twells1a@businessinsider.com,2015-05-25,Pending,Open,Tina Wells,varius nulla facilisi cras
48,Tammy Harvey,kperez1b@apple.com,2015-04-03,Pending,Open,Karen Perez,aliquam convallis nunc proin
49,Joshua Lee,khansen1c@mozilla.org,2015-06-30,2016-07-09,Closed,Kathryn Hansen,in quis justo maecenas rhoncus
50,Rebecca Gonzalez,jfranklin1d@cdbaby.com,2014-09-04,Pending,Open,Joe Franklin,libero quis orci nullam
51,Stephen Gray,nmorgan1e@samsung.com,2015-08-28,2016-06-07,Closed,Nicole Morgan,turpis eget elit
